,links
71,http://aajtak.intoday.in/gallery/news-on-12-oct-2013-1-5910.html
72,http://aajtak.intoday.in/gallery/17-sept-newsreel-1-4094.html
73,http://aajtak.intoday.in/gallery/in-pictures-top-news-of-20-february-2015-1-8297.html
74,http://aajtak.intoday.in/gallery/presidents-house-rashtrapati-bhavan-now-opened-for-common-people-1-4571.html
75,http://aajtak.intoday.in/gallery/06-september-2012-1-4022.html
76,http://aajtak.intoday.in/gallery/news-on-23-december-2012-1-4650.html
77,http://aajtak.intoday.in/gallery/mos-home-kiren-rijiju-flew-in-a-sukhoi-30-mki-fighter-1-10329.html
78,http://aajtak.intoday.in/gallery/08-june-2013-newsreel-1-5440.html
79,http://aajtak.intoday.in/gallery/top-news-of-21-august-2014-1-7197.html
80,http://aajtak.intoday.in/gallery/top-news-of-27-november-2013-photos--1-6075.html
81,http://aajtak.intoday.in/gallery/bal-thackerays-life-in-pics-1-4348.html
82,http://aajtak.intoday.in/gallery/top-news-of-11-august-2015-in-pictures-1-9067.html
83,http://aajtak.intoday.in/gallery/have-a-look-on-haryana-new-cm-manohar-lal-khattar--1-7582.html
84,http://aajtak.intoday.in/gallery/top-news-of-5-jan-2013-in-pictures-1-4715.html
85,http://aajtak.intoday.in/gallery/25-feburary-2013-newsreel--1-4975.html
86,http://aajtak.intoday.in/gallery/gujarat-polls-ist-phase-voting-photos-1-4584.html
87,http://aajtak.intoday.in/gallery/top-news-of-11th-may-2013-1-5365.html
88,http://aajtak.intoday.in/gallery/Newsreel-of-25th-Sept-1-4133.html
89,http://aajtak.intoday.in/gallery/president-pranab-mukherjee-presented-padma-awards-1-10014.html
90,http://aajtak.intoday.in/gallery/top-news-of-18th-october-2016-on-pm-modi-in-himachal-pradesh-ram-mandir-issue-karan-johar-video-om-puri-tribute-to-martyred-smriti-irani-1-11110.html
91,http://aajtak.intoday.in/gallery/bal-thackeray-laid-to-rest-with-full-state-honours-1-4444.html
92,http://aajtak.intoday.in/gallery/top-news-of-9th-august-2015-1-9056.html
93,http://aajtak.intoday.in/gallery/8-people-who-too-could-get-bharat-ratna-1-8026.html
94,http://aajtak.intoday.in/gallery/top-news-of-this-week-1-4825.html
95,http://aajtak.intoday.in/gallery/top-news-of-18th-september-2015-1-9230.html
96,http://aajtak.intoday.in/gallery/stampede-during-chhath-puja-after-bridge-collapses-in-patna-1-4451.html
97,http://aajtak.intoday.in/gallery/03-september-2012-1-4007.html
98,http://aajtak.intoday.in/gallery/top-news-of-29th-july-2016-in-pictures-1-10772.html
99,http://aajtak.intoday.in/gallery/girl-kills-her-father-with-husband-and-packs-dead-body-in-suitcase-at-nagpur-tst-1-15465.html
100,http://aajtak.intoday.in/gallery/top-news-of-24th-november-2012-1-4481.html
101,http://aajtak.intoday.in/gallery/ramnath-kovind-president-of-india-profile-journey-1-13611.html
102,http://aajtak.intoday.in/gallery/top-news-of-19th-october-2015-1-9347.html
103,http://aajtak.intoday.in/gallery/picture-gallery-of-big-news-of-15th-july-2014--1-7026.html
104,http://aajtak.intoday.in/gallery/06-june-2012-1-3529.html
105,http://aajtak.intoday.in/gallery/heavy-rainfall-flood-cloud-burst-bihar-assam-uttar-pradesh-himachal-1-14039.html
106,http://aajtak.intoday.in/gallery/top-news-of-31st-january-2016-1-9747.html
107,http://aajtak.intoday.in/gallery/environment-day-1-3519.html
108,http://aajtak.intoday.in/gallery/top-news-of-25th-november-2012-1-4485.html
109,http://aajtak.intoday.in/gallery/top-news-of-9th-feb-2016-1-9782.html
110,http://aajtak.intoday.in/gallery/top-news-of-17th-september-2013-1-5815.html
111,http://aajtak.intoday.in/gallery/top-news-of-29th-may-2016-on-ipl-final-match-pm-modi-rally-augusta-case-bjp-up-bsp-1-10409.html
112,http://aajtak.intoday.in/gallery/top-five-political-love-stories-before-digvijaya-singhs-1-6678.html
113,http://aajtak.intoday.in/gallery/pics-of-top-stories-of-9th-dec-2012-1-4569.html
114,http://aajtak.intoday.in/gallery/top-news-of-23rd-april-2014-1-6645.html
115,http://aajtak.intoday.in/gallery/top-news-of-07-march-2013--1-5044.html
116,http://aajtak.intoday.in/gallery/top-news-of-27-april-2013-1-5301.html
117,http://aajtak.intoday.in/gallery/News-this-week-in-pics-1-3879.html
118,http://aajtak.intoday.in/gallery/chennai-express-turns-burning-train-1-3784.html
119,http://aajtak.intoday.in/gallery/sonia-gandhi-turns-64-1-516.html
120,http://aajtak.intoday.in/gallery/top-news-of-6th-may-2013-in-pics-1-5343.html
121,http://aajtak.intoday.in/gallery/news-of-22-april-in-photos-1-5284.html
122,http://aajtak.intoday.in/gallery/pm-narendra-modi-visit-to-belgium-for-paying-tribute-to-victims-of-the-malbeek-metro-station-blast-in-brussels-1-10029.html
123,http://aajtak.intoday.in/gallery/pics-23-killed-as-nanded-express-catches-fire-1-6196.html
124,http://aajtak.intoday.in/gallery/top-news-of-11th-august-2014-in-pics--1-7149.html
125,http://aajtak.intoday.in/gallery/top-news-of-3-september-2013-1-5759.html
126,http://aajtak.intoday.in/gallery/news-on-15-march-2013-1-5092.html
127,http://aajtak.intoday.in/gallery/top-news-of-13th-april-2014-1-6607.html
128,http://aajtak.intoday.in/gallery/top-news-of-9-december-2013-1-6134.html
129,http://aajtak.intoday.in/gallery/01-june-2012-1-3498.html
130,http://aajtak.intoday.in/gallery/top-news-on-5th-june-2016-1-10461.html
131,http://aajtak.intoday.in/gallery/top-news-of-12th-august-2015-1-9074.html
132,http://aajtak.intoday.in/gallery/big-news-of-3rd-october-2014-in-pictures-1-7464.html
133,http://aajtak.intoday.in/gallery/pictures-of-gurdwara-manikaran-sahib-building-due-to-a-landslide--1-9104.html
134,http://aajtak.intoday.in/gallery/President-Pranabs-tea-party-1-3894.html
135,http://aajtak.intoday.in/gallery/top-news-of-10-october-2013-1-5906.html
136,http://aajtak.intoday.in/gallery/Top-News-of-17th-October-2012-1-4269.html
137,http://aajtak.intoday.in/gallery/Other-statehood-demands-1-520.html
138,http://aajtak.intoday.in/gallery/news-this-week-1-3546.html
139,http://aajtak.intoday.in/gallery/top-news-of-1-august-2014-1-7106.html
140,http://aajtak.intoday.in/gallery/anil-kumble-wild-life-photography-team-india-former-cricketer-1-12896.html
141,http://aajtak.intoday.in/gallery/top-news-of-25-may-2013-1-5409.html
142,http://aajtak.intoday.in/gallery/top-news-of-17-october-2013-in-pics-1-5929.html
143,http://aajtak.intoday.in/gallery/19-june-2013-newsreel-1-5466.html
144,http://aajtak.intoday.in/gallery/surgical-strike-it-was-the-ghatak-platoons-that-avenged-uri-attack-1-15036.html
145,http://aajtak.intoday.in/gallery/top-news-of-20-may-2013-1-5391.html
146,http://aajtak.intoday.in/gallery/Ttense-situation-in-Hyderabad-amid-Telangana-March-1-4166.html
147,http://aajtak.intoday.in/gallery/safaigiri-singathon-and-awards-a-efforts-to-clean-indian-campaign-1-11058.html
148,http://aajtak.intoday.in/gallery/top-news-of-8th-march-2014-1-6468.html
149,http://aajtak.intoday.in/gallery/news-on-14-march-2014-1-6500.html
150,http://aajtak.intoday.in/gallery/top-news-of-22-august-2014--1-7203.html
151,http://aajtak.intoday.in/gallery/arvind-kejriwal-leads-protest-outside-delhi-cms-residence-1-4570.html
152,http://aajtak.intoday.in/gallery/forest-fires-in-uttarakhand-1-10190.html
153,http://aajtak.intoday.in/gallery/india-pakistan-jolted-from-earthquake-1-9363.html
154,http://aajtak.intoday.in/gallery/narendra-modi-meets-mother-before-leaving-for-delhi-1-6765.html
155,http://aajtak.intoday.in/gallery/top-news-of-18th-february-2016-in-pictures-1-9822.html
156,http://aajtak.intoday.in/gallery/sachin-tendulkar-welcomes-indian-navys-ins-tarkash-in-london-1-12433.html
157,http://aajtak.intoday.in/gallery/northeast-burns-pakistan-spread-rumors-1-3933.html
158,http://aajtak.intoday.in/gallery/what-has-rahul-inherited-from-rajiv-1-4817.html
159,http://aajtak.intoday.in/gallery/test-cricket-is-the-best-says-experts-1-4032.html
160,http://aajtak.intoday.in/gallery/isha-ambani-glamourous-look-in-met-gala-1-12362.html
161,http://aajtak.intoday.in/gallery/pm-narendra-modi-amarkantak-visit-via-car-narmada-river-1-12555.html
162,http://aajtak.intoday.in/gallery/top-news-of-22nd-january-2015-1-8173.html
163,http://aajtak.intoday.in/gallery/18-Sept-2012-Newsreel-1-4097.html
164,http://aajtak.intoday.in/gallery/top-news-of-01st-july-2016-in-pictures-1-10608.html
165,http://aajtak.intoday.in/gallery/shashi-tharoor-takes-over-as-minister-of-state-for-hrd-1-4352.html
166,http://aajtak.intoday.in/gallery/virat-kohli-dances-at-mind-rocks-youth-summit-2013-1-5825.html
167,http://aajtak.intoday.in/gallery/top-news-of-1-january-2013-in-photos-1-4688.html
168,http://aajtak.intoday.in/gallery/top-news-of-5-march-2013--1-5030.html
169,http://aajtak.intoday.in/gallery/01-may-2013-news-reel-of-the-day-1-5321.html
170,http://aajtak.intoday.in/gallery/at-last-mumbai-gets-its-own-monorail-1-6318.html
171,http://aajtak.intoday.in/gallery/top-news-of-24-september-2014-in-pictures-1-7380.html
172,http://aajtak.intoday.in/gallery/top-news-of-27th-january-2016-1-9730.html
173,http://aajtak.intoday.in/gallery/president-pranab-mukharjee-present-padhmashee-award-2017-1-12023.html
174,http://aajtak.intoday.in/gallery/aap-sweeps-delhi-assembly-election-2015-1-8261.html
175,http://aajtak.intoday.in/gallery/top-news-of-31-july-2013-1-5605.html
176,http://aajtak.intoday.in/gallery/top-news-of-6th-july-2016-on-eid-smriti-irani-aap-bangladesh-attack-pakistan-1-10641.html
177,http://aajtak.intoday.in/gallery/images-taken-after-and-during-phailin-cyclone--1-5914.html
178,http://aajtak.intoday.in/gallery/cotton-is-cool-indian-summer-smriti-irani-kapil-dev-virender-sehwag-vijender-singh-amish-tripathi-vasundhara-raje-photo-gallery-1-12565.html
179,http://aajtak.intoday.in/gallery/I-feel-myself-partly-a-citizen-of-India-Aung-San-Suu-Kyi-1-4433.html
180,http://aajtak.intoday.in/gallery/10-August-newsreel-1-3868.html
181,http://aajtak.intoday.in/gallery/Bihar-bandh-Paswan-Lalu-detained-rail-road-services-hit-1-4248.html
182,http://aajtak.intoday.in/gallery/prime-minister-narendra-modi-in-delhi-metro-1-9182.html
183,http://aajtak.intoday.in/gallery/top-news-of-7-december-2014-in-pictures-1-7916.html
184,http://aajtak.intoday.in/gallery/top-news-of-10-september-2013-1-5789.html
185,http://aajtak.intoday.in/gallery/top-news-of-24-december-2013-in-pics-1-6188.html
186,http://aajtak.intoday.in/gallery/top-news-of-3rd-may-2016-1-10205.html
187,http://aajtak.intoday.in/gallery/former-punjab-dgp-kps-gill-passed-away-in-delhi-1-12766.html
188,http://aajtak.intoday.in/gallery/top-news-of-7th-april-2014-in-pictures-1-6581.html
189,http://aajtak.intoday.in/gallery/BJP-halla-bole-1-3637.html
190,http://aajtak.intoday.in/gallery/top-news-on-25th-april-2016-on-uttar-pradesh-election-mumbai-west-bengal-odd-even-scheme-in-delhi-1-10164.html
191,http://aajtak.intoday.in/gallery/maharashtra-deals-with-drought-as-state-mulls-measures-to-minimise-impact-1-4912.html
192,http://aajtak.intoday.in/gallery/top-and-big-news-of-28th-june-2016-1-10589.html
193,http://aajtak.intoday.in/gallery/Top-stories-of-30th-October-2012-1-4335.html
194,http://aajtak.intoday.in/gallery/news-notes-1-5245.html
195,http://aajtak.intoday.in/gallery/fiza-dead-1-3835.html
196,http://aajtak.intoday.in/gallery/top-news-of-5th-feb-2014-1-6338.html
197,http://aajtak.intoday.in/gallery/top-news-of-13th-march-2016-1-9947.html
198,http://aajtak.intoday.in/gallery/jal-satyagraha-kudankulam-1-4061.html
199,http://aajtak.intoday.in/gallery/top-news-of-13th-august-2016-1-10844.html
200,http://aajtak.intoday.in/gallery/in-pics-top-news-of-18-feb--1-8291.html
201,http://aajtak.intoday.in/gallery/03-october-2013-news-reel-1-5876.html
202,http://aajtak.intoday.in/gallery/cold-wave-disturbed-normal-life-in-northern-india-1-4673.html
203,http://aajtak.intoday.in/gallery/top-news-of-05-july-2014-1-6985.html
204,http://aajtak.intoday.in/gallery/top-news-of-23-june-2013-1-5476.html
205,http://aajtak.intoday.in/gallery/Nation-pays-homage-to-martyrs-of-1962-India-China-war-1-4276.html
206,http://aajtak.intoday.in/gallery/punjab-gurudaspur-and-ferozpur-became-part-of-pakistan-during-radcliffe-border-partition-1-15357.html
207,http://aajtak.intoday.in/gallery/top-news-of-28-january-2015-in-pictures-1-8208.html
208,http://aajtak.intoday.in/gallery/chennai-metro-opens-to-public-on-monday--1-8835.html
209,http://aajtak.intoday.in/gallery/top-news-of-5th-december-2012-1-4531.html
210,http://aajtak.intoday.in/gallery/Durga-puja-festivities-begin-1-4275.html
211,http://aajtak.intoday.in/gallery/dda-launches-new-housing-scheme-1-7254.html
212,http://aajtak.intoday.in/gallery/yogi-adityanath-life-style-bhagwa-up-cm-house-1-11762.html
213,http://aajtak.intoday.in/gallery/top-news-of-9-october-2013-1-5902.html
214,http://aajtak.intoday.in/gallery/66th-republic-day-armed-and-cultural-tableaus-show-on-rajpath--1-8191.html
215,http://aajtak.intoday.in/gallery/indian-army-soldiers-take-position-near-the-house-where-suspected-militants-at-saimoh-village-1-12782.html
216,http://aajtak.intoday.in/gallery/top-news-of-26-september-2013-1-5852.html
217,http://aajtak.intoday.in/gallery/pranab-mukherjee-becomes-president-of-india-1-3756.html
218,http://aajtak.intoday.in/gallery/beauty-contest-for-desi-cows-held-in-haryana-1-10250.html
219,http://aajtak.intoday.in/gallery/president-of-russia-putin-and-pm-modi-held-extensive-talks-for-enhancing-india-russia-ties-1-11101.html
220,http://aajtak.intoday.in/gallery/president-inaugurated-125th-year-celebrations-of-uttar-pradesh-legislature-1-4732.html
221,http://aajtak.intoday.in/gallery/protest-enters-day-8-1-3801.html
222,http://aajtak.intoday.in/gallery/top-news-of-19-march-2013-1-5124.html
223,http://aajtak.intoday.in/gallery/aaj-taks-holi-celebration-rangrasiya-in-banaras--1-8342.html
224,http://aajtak.intoday.in/gallery/top-news-of-24th-july-2015-1-8971.html
225,http://aajtak.intoday.in/gallery/news-on-7-december-2013-1-6124.html
226,http://aajtak.intoday.in/gallery/top-news-of-17-december-2013-1-6160.html
227,http://aajtak.intoday.in/gallery/mea-sushma-swaraj-answers-to-congress-allegation-in-lalit-modi-case--1-9072.html
228,http://aajtak.intoday.in/gallery/top-news-of-11th-feb-in-aajtak-headlines-1-9794.html
229,http://aajtak.intoday.in/gallery/06-june-2013-newsreel-1-5436.html
